derivations-ext-step4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 0
id,lemma vnisp,lemma vs,verbo/nome,derivazione,tratti disattesi,afer.1,afer.1.b,assib.1.a,assib.1.c,assib.3,assib.5 ce,assib.6.a,assib.6.b,assib.6.c,assib.7,assib.8,assib.9,assib.11,assib.12,assib.14,degem.1,degem.2,degem.3,degem.4,degem.5,degem.6,degem.7,degem.8,degem.9,degem.11,degem.12,degem.13,degem.16,degem.17,degem.18,degem.19,degem.19.b,degem.20,degem.22,degem.23,deretr.1,deretr.3,dissim.1,dissim.2,ditt.1.a,ditt.1.b,ditt.2.a,ditt.2.b,elim.1,elim.2,elim.4.a,elim.4.b,inf.1,inf.2,inf.3.a,inf.3.b.1,inf.3.b.2,inf.3.c,inf.3.d,inf.4,leniz.1,leniz.2,leniz.3,leniz.5,leniz.6,leniz.7,leniz.8,leniz.9,indson,nasal.1,nasal.2,nasal.3,nasal.4,nasal.5,nasal.6,leniz.19.e,leniz.19.h,leniz.20,palat.1,palat.2,palat.3,palat.4,palat.5,palat.6,palat.7,palat.8,palat.9,palat.10,palat.11,vocal.2.a,vocal.5.a,vocal.5.c,vocal.7.a,vocal.7.b,vocal.8.a,vocal.8.b,vocal.8.c,vocal.9.a,vocal.10,assib.6.d,vocal.11,vocal.12,vocal.13,
0,,,,,,a->Ø,al->Ø,si>sge,si>sgi,sï>sgï,cè>sgè/sgé,ci>sge,-ci>-sgë,ci>sgi,cì>sgì,cï>sgï,nc>nz,rc>rz,c->zz-,s>zz,-tt->-it-,tt>t,dd>d,ḍḍ>ḍ (dd),pp>p,bb>b,cc>c,-ccàri >  -chè,gg>g (no -ggàri),ff>f,vv>v,ss->s-,mm>m,nn>n,l->dd-,-ll- > Ø,-ll- > -l-,-ḍḍ- > Ø,ḍḍṛ>dr,ṭṭṛ>tr,ṭṛ>tr,ṣṭṛ>str,mm>mb,nn>nd,è->-iè,-è->-iè-,ò->uò-,-ò->-uò-,v->b-,bb->b-,i->g- (j>g),i->gi- (j>dʒ),-ìri> -é,-ìri>ì,-ìri>ö,-ciri>ciö,-giri>giö,-jiri>jö,-hiri >hiö,-ìri >ìsciö,-c->-g-,-cr->-gr-,-p->-v-,-t->-d-,-ìtu>-ì,-àtu>-à,-ùtu>-ù,-ìti>-é,-l->Ø,-àni>-àn,-ànu>-àn,-ùni>ón,-òni>-ón,-ìnu>ìn,-ùnu>ùn,chj>ghj,chï>ghï,spr>sbr,-càri> -chè,-càrisi >chèssë,-gàri >ghè,-gàrisi >ghessë,-àri>è,-àrisi >èssë,-ciàri >cè,-iàrisi >èssë,-giàri >gè,-ïàri >ïè,-ïàrisi >ïèssë,i > ë,u > ö,ù > ö̀,-i > e,i- | -i- > e,u > e,cu > che,gu > ghe,-èri > -èrö,ì > ë̀,c >  sgi/sge,u > ö/e,-a- > -e-,-i > -ö,
1,abetìnö,abbitìnu,nome,abetìnö<-vocal.7.b--abitìnö<-vocal.5.a--abitìnu<-degem.6--abbitìnu,afer.1 leniz.5 vocal.10,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,sì,NA,NA,NA,NA,no,NA,NA,NA,NA,
2,abràsgiö,abbràciu,nome,abràsgiö<-vocal.5.a--abràsgiu<-degem.6--abbràsgiu<-assib.6.c--abbràciu,afer.1,no,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,abrèö,abbrèu,nome,abrèö<-vocal.5.a--abrèu<-degem.6--abbrèu,afer.1 ditt.1.b,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,abusè,abbusàri,verbo,abusè<-palat.5--abusàri<-degem.6--abbusàri,afer.1 vocal.11,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,
5,abìlë,abbìli,nome,abìlë<-vocal.2.a--abìli<-degem.6--abbìli,afer.1 vocal.10,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,
6,abòrtö,abbòrtu,nome,abòrtö<-vocal.5.a--abòrtu<-degem.6--abbòrtu,afer.1 ditt.2.b,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,abörtìsciö,abburtìri,verbo,abörtìsciö<-vocal.5.a--aburtìsciö<-inf.4--aburtìri<-degem.6--abburtìri,afer.1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,abùsö,abbùsu,nome,abùsö<-vocal.5.a--abùsu<-degem.6--abbùsu,afer.1 vocal.5.c,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sì,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
