abetìnö<-vocal.7.b--abitìnö<-vocal.5.a--abitìnu<-degem.6--abbitìnu,afer.1 leniz.5 vocal.10
abràsgiö<-vocal.5.a--abràsgiu<-degem.6--abbràsgiu<-assib.6.c--abbràciu,afer.1
abrèö<-vocal.5.a--abrèu<-degem.6--abbrèu,afer.1 ditt.1.b
abusè<-palat.5--abusàri<-degem.6--abbusàri,afer.1 vocal.11
abìlë<-vocal.2.a--abìli<-degem.6--abbìli,afer.1 vocal.10
abòrtö<-vocal.5.a--abòrtu<-degem.6--abbòrtu,afer.1 ditt.2.b
abörtìsciö<-vocal.5.a--aburtìsciö<-inf.4--aburtìri<-degem.6--abburtìri,afer.1 
abùsö<-vocal.5.a--abùsu<-degem.6--abbùsu,afer.1 vocal.5.c
acetè<-vocal.7.b--acitè<-palat.5--acitàri<-degem.7--accitàri<-degem.2--accittàri,afer.1 
acetìsciö<-vocal.7.b--acitìsciö<-inf.4--acitìri,afer.1 assib.6.d leniz.5
aciprètë<-vocal.2.a--aciprèti<-degem.7--acciprèti,afer.1 ditt.1.b leniz.4 leniz.5 vocal.7.b
acòrdiö<-vocal.5.a--acòrdiu<-degem.7--accòrdiu,afer.1 ditt.2.b
acùntö<-vocal.5.a--acùntu<-degem.7--accùntu,afer.1 vocal.5.c
addièvö<-vocal.5.a--addièvu<-ditt.1.b--addèvu<-degem.4--aḍḍèvu,afer.1 
afrìgiö<-inf.3.b.2--afrìgiri<-degem.9--afrìggiri<-degem.11--affrìggiri,afer.1
afànö<-vocal.5.a--afànu<-degem.17--afànnu<-degem.11--affànnu,afer.1
afàrë<-vocal.2.a--afàri<-degem.11--affàri,afer.1 vocal.13
afètö<-vocal.5.a--afètu<-degem.2--afèttu<-degem.11--affèttu,afer.1 ditt.1.b
agenzìa<-degem.9--aggenzìa,afer.1 vocal.10
agö̀stö<-vocal.5.c--agùstö<-vocal.5.a--agùstu,afer.1
agrefuòghjö<-vocal.7.b--agrifuòghjö<-vocal.5.a--agrifuòghju<-ditt.2.b--agrifòghju<-degem.9--agrifògghju,afer.1
aièrö<-vocal.9.a--aièri,afer.1
aiùtö<-vocal.5.a--aiùtu,afer.1 leniz.5 vocal.5.c
amecìzzia<-vocal.7.b--amicìzzia,afer.1 assib.7 vocal.10
amenzè<-vocal.7.b--aminzè<-palat.5--aminzàri<-degem.16--amminzàri,afer.1
ametè<-vocal.7.b--amitè<-palat.5--amitàri,afer.1 leniz.5
amö̀rë<-vocal.5.c--amùrë<-vocal.2.a--amùri,afer.1 vocal.13
amö̀rö<-vocal.13--amö̀ri<-vocal.5.c--amùri,afer.1
amàntë<-vocal.2.a--amànti,afer.1
amàrö<-vocal.5.a--amàru,afer.1
amè<-palat.5--amàri,afer.1
amèssë<-palat.6--amàrisi,afer.1
amìga<-leniz.1--amìca,afer.1 vocal.10
amìgö<-vocal.5.a--amìgu<-leniz.1--amìcu,afer.1 vocal.10
anciòva,afer.1 assib.9 ditt.2.b
ancölìn<-vocal.5.a--anculìn<-leniz.16--anculìnu,afer.1 leniz.12 vocal.10
